"reference number","number of vehicles","date","time","road class","road surface description","lighting conditions","weather conditions","casualty number","casualty class","sex of casualty","age of casualty","casualty severity","type of vehicle 1","type of vehicle 2","type of vehicle 3","type of vehicle 4","type of vehicle 5","type of vehicle 6","type of vehicle 7","type of vehicle 8","type of vehicle 9","type of vehicle 10","avg_temp","avg_wind","total_precip"
"58F1730","2","15/08/2019","1812","3","1","1","1","1","2","2","6","3","9","11","0","0","0","0","0","0","0","0","15.095833333333337","23.02083333333334","0.0"
"58F1730","2","15/08/2019","1812","3","1","1","1","2","2","1","9","3","9","11","0","0","0","0","0","0","0","0","15.095833333333337","23.02083333333334","0.0"
"58F1730","2","15/08/2019","1812","3","1","1","1","3","2","2","39","3","9","11","0","0","0","0","0","0","0","0","15.095833333333337","23.02083333333334","0.0"
"6111190","2","01/01/2019","1007","3","1","1","1","1","1","1","54","3","9","1","0","0","0","0","0","0","0","0","6.625","15.291666666666664","0.0"
"6111674","1","01/01/2019","1505","6","1","1","1","1","3","2","3","3","9","0","0","0","0","0","0","0","0","0","6.625","15.291666666666664","0.0"
"6111836","2","01/01/2019","1640","6","1","4","1","1","1","1","45","2","9","1","0","0","0","0","0","0","0","0","6.625","15.291666666666664","0.0"
"58F1730","2","15/08/2019","1812","3","1","1","1","4","2","1","5","3","9","11","0","0","0","0","0","0","0","0","15.095833333333337","23.02083333333334","0.0"
"58F1730","2","15/08/2019","1812","3","1","1","1","5","2","2","8","3","9","11","0","0","0","0","0","0","0","0","15.095833333333337","23.02083333333334","0.0"
"58F1730","2","15/08/2019","1812","3","1","1","1","6","2","2","48","3","9","11","0","0","0","0","0","0","0","0","15.095833333333337","23.02083333333334","0.0"
"58F1730","2","15/08/2019","1812","3","1","1","1","7","2","2","57","3","9","11","0","0","0","0","0","0","0","0","15.095833333333337","23.02083333333334","0.0"
